type_var,YEAR,typeTotal
benthic,1950,1.966
benthic,1951,2.252
benthic,1952,2.511
benthic,1953,2.841
benthic,1954,2.635
benthic,1955,2.859
benthic,1956,5.243
benthic,1957,5.047
benthic,1958,5.034
benthic,1959,4.507
benthic,1960,4.67
benthic,1961,4.271
benthic,1962,8.2
benthic,1963,8.009
benthic,1964,12.083
benthic,1965,12.696
benthic,1966,33.529
benthic,1967,16.375
benthic,1968,16.77
benthic,1969,16.844
benthic,1970,15.595
benthic,1971,15.516
benthic,1972,17.07
benthic,1973,15.243
benthic,1974,14.195
benthic,1975,14.76
benthic,1976,20.602
benthic,1977,18.391
benthic,1978,18.963
benthic,1979,19.723
benthic,1980,22.517
benthic,1981,15.812
benthic,1982,15.221
benthic,1983,17.085
benthic,1984,18.297
benthic,1985,27.375
benthic,1986,24.714
benthic,1987,36.175
benthic,1988,39.269
benthic,1989,45.05
benthic,1990,42.223
benthic,1991,35.358
benthic,1992,36.842
benthic,1993,35.05
benthic,1994,35.215
benthic,1995,40.44
benthic,1996,38.857
benthic,1997,39.887
benthic,1998,38.064
benthic,1999,30.978
benthic,2000,35.558
benthic,2001,34.434
benthic,2002,33.176
benthic,2003,34.522
benthic,2004,30.396
benthic,2005,30.864
benthic,2006,17.42169
benthic,2007,20.60442
benthic,2008,18.94094
benthic,2009,21.14293
benthic,2010,23.49479
benthic,2011,23.60999
benthic,2012,33.40316
benthic,2013,36.07636
benthic,2014,32.35397
benthic,2015,32.766573
benthic,2016,51.773115
benthic,2017,52.27052
benthic,2018,28.301328858
crustacean,1950,0.001
crustacean,1951,0
crustacean,1952,0
crustacean,1953,0
crustacean,1954,0.167
crustacean,1955,0.606
crustacean,1956,0.739
crustacean,1957,0.984
crustacean,1958,1.592
crustacean,1959,2.223
crustacean,1960,1.999
crustacean,1961,3.326
crustacean,1962,3.58
crustacean,1963,4.628
crustacean,1964,4.936
crustacean,1965,5.068
crustacean,1966,8.886
crustacean,1967,8.184
crustacean,1968,8.827
crustacean,1969,12.092
crustacean,1970,10.248
crustacean,1971,11.172
crustacean,1972,13.696
crustacean,1973,12.823
crustacean,1974,8.932
crustacean,1975,11.713
crustacean,1976,18.104
crustacean,1977,18.716
crustacean,1978,20.978
crustacean,1979,24.281
crustacean,1980,16.753
crustacean,1981,17.772
crustacean,1982,19.025
crustacean,1983,20.985
crustacean,1984,19.937
crustacean,1985,24.113
crustacean,1986,25.041
crustacean,1987,26.909
crustacean,1988,26.594
crustacean,1989,25.794
crustacean,1990,24.442
crustacean,1991,26.472
crustacean,1992,25.362
crustacean,1993,26.717
crustacean,1994,27.497
crustacean,1995,30.696
crustacean,1996,26.25
crustacean,1997,28.592
crustacean,1998,27.25
crustacean,1999,26.487
crustacean,2000,27.026
crustacean,2001,25.927
crustacean,2002,25.673
crustacean,2003,25.696
crustacean,2004,24.836
crustacean,2005,22.406
crustacean,2006,27.51191
crustacean,2007,33.36052
crustacean,2008,33.93864
crustacean,2009,29.79286
crustacean,2010,27.7334
crustacean,2011,27.91427
crustacean,2012,32.81881
crustacean,2013,29.0921
crustacean,2014,28.90631
crustacean,2015,27.713648
crustacean,2016,31.959097
crustacean,2017,27.18649
crustacean,2018,21.83690612
demersal,1950,24.351
demersal,1951,26.254
demersal,1952,32.968
demersal,1953,36.849
demersal,1954,38.97
demersal,1955,42.521
demersal,1956,84.132
demersal,1957,93.076
demersal,1958,93.742
demersal,1959,79.227
demersal,1960,64.07
demersal,1961,53.107
demersal,1962,62.435
demersal,1963,71.491
demersal,1964,107.076
demersal,1965,125.895
demersal,1966,160.671
demersal,1967,135.813
demersal,1968,121.233
demersal,1969,123.836
demersal,1970,105.403
demersal,1971,119.197
demersal,1972,145.396
demersal,1973,167.33
demersal,1974,157.596
demersal,1975,139.889
demersal,1976,183.15
demersal,1977,144.316
demersal,1978,149.283
demersal,1979,136.238
demersal,1980,143.749
demersal,1981,153.904
demersal,1982,164.692
demersal,1983,167.256
demersal,1984,159.814
demersal,1985,195.384
demersal,1986,189.057
demersal,1987,214.5
demersal,1988,225.185
demersal,1989,236.653
demersal,1990,186.51
demersal,1991,153.768
demersal,1992,133.499
demersal,1993,149.433
demersal,1994,148.083
demersal,1995,159.466
demersal,1996,158.967
demersal,1997,153.358
demersal,1998,138.98
demersal,1999,83.569
demersal,2000,121.021
demersal,2001,103.655
demersal,2002,100.635
demersal,2003,84.604
demersal,2004,72.314
demersal,2005,76.379
demersal,2006,56.61378
demersal,2007,52.86967
demersal,2008,50.19205
demersal,2009,58.51119
demersal,2010,59.09349
demersal,2011,63.55762
demersal,2012,86.73473
demersal,2013,85.27852
demersal,2014,85.93966
demersal,2015,83.092852
demersal,2016,108.678148
demersal,2017,101.994055
demersal,2018,84.075062886
elasmobranch,1950,3.248
elasmobranch,1951,4.959
elasmobranch,1952,7.228
elasmobranch,1953,5.505
elasmobranch,1954,5.302
elasmobranch,1955,5.485
elasmobranch,1956,6.594
elasmobranch,1957,6.336
elasmobranch,1958,5.845
elasmobranch,1959,4.241
elasmobranch,1960,5.144
elasmobranch,1961,4.887
elasmobranch,1962,4.25
elasmobranch,1963,4.315
elasmobranch,1964,14.209
elasmobranch,1965,5.588
elasmobranch,1966,5.752
elasmobranch,1967,6.025
elasmobranch,1968,5.26
elasmobranch,1969,4.423
elasmobranch,1970,14.633
