"","StockKeyLabel","StockKeyDescription","SpeciesScientificName","SpeciesCommonName","FisheriesGuild.y","DataCategory","AssessmentYear","AdviceCategory","lineDescription","FishingPressure","Ecoregion","StockSize","SBL","D3C1","D3C2","GES"
"44","ghl.27.561214","Greenland halibut in subareas 5, 6, 12, and 14","Reinhardtius hippoglossoides","Greenland halibut","Demersal","1",2019,"MSY","Precautionary approach","GREY","Arctic Ocean Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREY","GREY","GREEN","GREY"
"45","guq.27.nea","Leafscale gulper shark in subareas 1-10, 12 and 14","Centrophorus squamosus","Leafscale gulper shark","Elasmobranch","6.3",2019,"PA","Maximum sustainable yield","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"46","guq.27.nea","Leafscale gulper shark in subareas 1-10, 12 and 14","Centrophorus squamosus","Leafscale gulper shark","Elasmobranch","6.3",2019,"PA","Precautionary approach","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"47","gur.27.3-8","Red gurnard in subareas 3-8","Chelidonichthys cuculus","Red gurnard","Demersal","6.2",2019,"PA","Maximum sustainable yield","GREY","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"48","gur.27.3-8","Red gurnard in subareas 3-8","Chelidonichthys cuculus","Red gurnard","Demersal","6.2",2019,"PA","Precautionary approach","GREY","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"49","had.27.46a20","Haddock in Subarea 4, Division 6.a, and Subdivision 20 ","Melanogrammus aeglefinus","Haddock","Demersal","1",2019,"MSY","Maximum sustainable yield","RED","Celtic Seas Ecoregion, Greater North Sea Ecoregion","GREEN","GREEN","RED","GREEN","RED"
"50","had.27.46a20","Haddock in Subarea 4, Division 6.a, and Subdivision 20 ","Melanogrammus aeglefinus","Haddock","Demersal","1",2019,"MSY","Precautionary approach","GREEN","Celtic Seas Ecoregion, Greater North Sea Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"51","had.27.6b","Haddock in Division 6.b","Melanogrammus aeglefinus","Haddock","Demersal","1",2018,"MSY","Maximum sustainable yield","GREEN","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"52","had.27.6b","Haddock in Division 6.b","Melanogrammus aeglefinus","Haddock","Demersal","1",2018,"MSY","Precautionary approach","GREEN","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"53","had.27.7a","Haddock in Division 7.a","Melanogrammus aeglefinus","Haddock","Demersal","1",2019,"MSY","Maximum sustainable yield","GREEN","Celtic Seas Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
