Year,FisheriesGuild,variable,value
2018,benthic,guildLandings,7618.1
2018,crustacean,guildLandings,984.105
2018,demersal,guildLandings,26027.582
2018,elasmobranch,guildLandings,1.397
2018,pelagic,guildLandings,150204.868
2018,benthic,guildDiscards,91.9512
2018,crustacean,guildDiscards,20.907
2018,demersal,guildDiscards,439.056
2018,elasmobranch,guildDiscards,0.837
2018,pelagic,guildDiscards,61.821
