type_var,year,typeTotal
France,2009,371586.967572789
France,2010,360188.446051109
France,2011,365963.266637784
France,2012,377709.975761663
France,2013,388363.838880554
France,2014,369716.188733337
France,2015,380419.66286583
France,2016,384139.704610834
France,2017,400695.622448331
France,2018,393147.614295835
Ireland,2009,189064.268300332
Ireland,2010,219576.596895666
Ireland,2011,207808.295405167
Ireland,2012,231261.009659666
Ireland,2013,220013.157870832
Ireland,2014,222734.701037167
Ireland,2015,221160.285445832
Ireland,2016,238487.662811
Ireland,2017,225321.417696
Ireland,2018,222307.200073168
Netherlands,2009,91560.521733333
Netherlands,2010,110053.35495
Netherlands,2011,81557.8319000008
Netherlands,2012,104322.688408333
Netherlands,2013,94498.5273666663
Netherlands,2014,65816.632475
Netherlands,2015,67872.318833333
Netherlands,2016,89642.2576666663
Netherlands,2017,43287.7313333334
Netherlands,2018,68282.6144333329
Spain,2009,203255.907593685
Spain,2010,186437.45028415
Spain,2011,173745.311206646
Spain,2012,129439.727255663
Spain,2013,113386.104426336
Spain,2014,97260.2153456728
Spain,2015,95620.6572374992
Spain,2016,99950.2947388337
Spain,2017,107846.18820316
Spain,2018,105028.476520996
UK,2009,270280.836372908
UK,2010,256141.41040509
UK,2011,246984.144789143
UK,2012,243378.518749028
UK,2013,228487.624640362
UK,2014,245570.702436997
UK,2015,226860.700437003
UK,2016,226169.261737001
UK,2017,205187.1359518
UK,2018,228566.779919439
UK,2019,1243.23999048
other,2009,99065.8419589744
other,2010,115184.681316666
other,2011,158435.741955725
other,2012,176106.911037655
other,2013,189244.106212466
other,2014,191418.59859303
other,2015,187780.98576215
other,2016,174605.823880479
other,2017,205385.512318223
other,2018,102866.744041533
